entity,id,name,city,ceilingHeightM,usableLengthM,usableWidthM,wingspanMm,modelWeightG,wingAreaDm2,manufacturer,widthMm,thicknessMm,purchaseDate,batchId,loopLengthMm,motorWeightG,strands,lubricant,date,venueId,modelId,motorId,turnsLoaded,backOff,durationSec,maxAltitudeM,touchedCeiling,timeToCeilingSec,ceilingContactDurationSec,secondClimb,secondCeilingTouch,secondCeilingTimeSec,secondCeilingContactDurationSec,turnPattern,climb,stability,landing,propType,rpmVisual,rpmInitial,rpmMid,rpmFinal,rpmTrend,rpmSamples,maxPitchMm,minPitchMm,springHardness,vpTransitionObserved,vpMechanismMode,vpTransitionTimeSec,rpmBeforeVpTransition,rpmAfterVpTransition,launchTorque,descentStartSec,descentStartTorque,turnsAtDescentStart,remainingTurns,notes
venue,venue-salon-chico-72,Salón Chico 7.2 m,Rafaela,7.2,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Techo bajo. Penaliza exceso de torque inicial; ideal para probar back-off y paso máximo VP.
venue,venue-gimnasio-bajo-85,Gimnasio Bajo 8.5 m,Buenos Aires,8.5,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volumen bajo-medio. Sirve para comparar control de techo.
venue,venue-galpon-medio-12,Galpón Medio 12 m,Rafaela,12.0,42,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volumen cómodo para F1M. Permite vuelo más largo sin contacto frecuente.
venue,venue-hangar-alto-18,Hangar Alto 18 m,Morón,18.0,55,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Techo alto. Útil para probar motores de más torque y ascensos prolongados.
model,model-f1m-azul,F1M Azul,,,,,455,3.15,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modelo baseline con VP. Estable; útil para comparar motores.
model,model-f1m-rojo,F1M Rojo,,,,,460,3.05,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Modelo liviano, muy sensible al torque inicial y al techo."
model,model-f1m-verde,F1M Verde,,,,,452,3.35,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modelo algo pesado; pide más torque o menor paso máximo.
model,model-f1m-vp-test,F1M VP Test,,,,,458,3.08,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modelo para ensayo de resorte y transición de paso variable.
model,model-f1m-fija,F1M Hélice Fija,,,,,450,3.28,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modelo con hélice fija; sirve para aislar motor sin VP.
rubber_batch,batch-tss-2026-a,TSS 2026 A,,,,,,,,Tan Super Sport,1.5,1.0,2026-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goma comercial nueva simulada. Lote base.
rubber_batch,batch-tss-2026-b,TSS 2026 B,,,,,,,,Tan Super Sport,1.4,1.0,2026-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goma comercial nueva simulada, algo más fina."
rubber_batch,batch-tss-2026-c,TSS 2026 C,,,,,,,,Tan Super Sport,1.6,1.0,2026-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goma comercial nueva simulada, más torque."
rubber_batch,batch-ref-may99,Referencia May99,,,,,,,,Tan II ref,1.5,1.0,1999-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Referencia sintética para comparar con configuración histórica. No es medición real.
motor,motor-132-390,Motor 1.32g 390mm,,,,,,,,,,,,batch-tss-2026-c,390,1.32,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor más corto/grueso relativo. Más torque inicial; útil para modelo pesado o techo alto.
motor,motor-138-410,Motor 1.38g 410mm,,,,,,,,,,,,batch-tss-2026-a,410,1.38,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motor intermedio, tiende a buen ascenso en techo medio."
motor,motor-142-430,Motor 1.42g 430mm,,,,,,,,,,,,batch-tss-2026-a,430,1.42,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor base de pruebas F1M.
