fecha,salon,modelo,motor,vueltas_cargadas,back_off,vueltas_netas,duracion_seg,altura_max_m,toco_techo,tiempo_hasta_techo_seg,contacto_techo_seg,segunda_trepada,segundo_toque_techo,tiempo_segundo_toque_seg,segundo_contacto_techo_seg,contacto_techo_total_seg,tiempo_hasta_techo_pct,contacto_techo_pct,vp_paso_max_mm,vp_paso_min_mm,vp_dureza_resorte,tipo_helice,rpm_visual,rpm_inicial,rpm_media,rpm_final,rpm_tendencia,rpm_muestras,vp_transicion_observada,vp_mecanismo,vp_tiempo_transicion_seg,rpm_antes_transicion_vp,rpm_despues_transicion_vp,torque_lanzamiento,inicio_caida_seg,torque_inicio_caida,vueltas_inicio_caida,vueltas_remanentes,remanente_pct,uso_techo_pct,eficiencia_por_vuelta,eficiencia_por_gramo_goma,giro,ascenso,estabilidad,aterrizaje,notas
2026-05-10T10:18:00Z,Gimnasio Bajo 8.5 m,F1M Rojo,Motor 1.48g 450mm,1450,40,1410,265,8.5,light,38,14,false,false,,,14,14.3,5.3,620,430,5,variable_pitch,fast,5200,3800,2500,fast_decay,0:5200:lanzamiento|38:4750:primer techo|130:3500:medio|265:2500:final,normal,unknown,75,4300,3600,0.58,205,0.11,420,280,19.9,100,0.188,179.1,left,too_aggressive,stable,soft,Toca techo temprano y aterriza con 19.9% de vueltas netas remanentes. Debe priorizar control inicial.
2026-05-10T10:36:00Z,Gimnasio Bajo 8.5 m,F1M Azul,Motor 1.45g 445mm,1380,70,1310,305,8.5,light,62,5,false,false,,,5,20.3,1.6,650,440,5,variable_pitch,normal,4700,3100,1800,fast_decay,0:4700:lanzamiento|62:3900:techo suave|180:2600:medio|305:1800:final,normal,known,90,3600,3000,0.49,235,0.08,150,95,7.3,100,0.233,210.3,left,too_aggressive,stable,soft,"Toca techo pero queda solo 7.3% de remanente. Está cerca, ajuste fino de distribución inicial."
2026-05-10T10:54:00Z,Gimnasio Bajo 8.5 m,F1M Azul,Motor 1.42g 430mm,1200,100,1100,230,4.8,false,,0,false,false,,,0,0,0,620,470,5,variable_pitch,slow,3600,2100,1150,fast_decay,0:3600:lanzamiento|115:2100:medio|230:1150:final,late,known,150,2300,1750,0.36,160,0.07,300,260,23.6,56.5,0.209,162,left,low,stable,prop_still_turning,"No usa techo, cae con muchas vueltas y RPM final lenta. Debe sospechar paso mínimo alto o fricción antes que motor."
2026-05-10T11:12:00Z,Gimnasio Bajo 8.5 m,F1M Azul,Motor 1.42g 430mm,1240,90,1150,245,5.2,false,,0,false,false,,,0,0,0,600,360,4,variable_pitch,fast,4600,4100,3600,slow_decay,0:4600:lanzamiento|120:4100:medio|245:3600:final,early,known,70,4300,4000,0.39,168,0.08,340,275,23.9,61.2,0.213,172.5,left,low,stable,prop_still_turning,"No usa techo, remanente alto y RPM final alta: hélice descarga sin empuje. Subir paso mínimo."
2026-05-10T11:30:00Z,Galpón Medio 12 m,F1M Azul,Motor 1.49g 500mm,1500,120,1380,390,7,false,,0,false,false,,,0,0,0,650,430,5,variable_pitch,normal,4200,3000,2200,slow_decay,0:4200:lanzamiento|200:3000:medio|390:2200:final,normal,known,140,3300,2800,0.42,300,0.08,410,310,22.5,58.3,0.283,261.7,left,low,stable,soft,"Motor largo/fino: remanente alto, rpm normal, estable y no usa techo. Conviene acortar motor manteniendo masa."
2026-05-10T11:48:00Z,Galpón Medio 12 m,F1M Verde,Motor 1.36g 460mm,1200,160,1040,205,5.4,false,,0,false,false,,,0,0,0,640,430,5,variable_pitch,normal,3900,2200,900,fast_decay,0:3900:lanzamiento|100:2200:medio|205:900:final,normal,known,90,2800,2200,0.33,150,0.04,80,70,6.7,45,0.197,150.7,left,low,stable,falls_without_energy,No usa techo y no sobra motor; falta energía útil o el modelo está pesado. Cambiar energía inicial.
2026-05-10T12:06:00Z,Galpón Medio 12 m,F1M Azul,Motor 1.45g 445mm,1500,110,1390,520,10.2,false,,0,false,false,,,0,0,0,660,430,5,variable_pitch,normal,4400,2850,1850,slow_decay,0:4400:lanzamiento|180:3300:ascenso|360:2450:medio|520:1850:final,normal,known,165,3100,2600,0.46,410,0.06,170,95,6.8,85,0.374,358.6,left,correct,stable,soft,"Vuelo cerca del óptimo: usa 85% de techo, estable, remanente 6.8%. Debe repetir."
2026-05-10T12:24:00Z,Galpón Medio 12 m,F1M Azul,Motor 1.45g 445mm,1505,110,1395,528,10.5,false,,0,false,false,,,0,0,0,660,430,5,variable_pitch,normal,4450,2870,1820,slow_decay,0:4450:lanzamiento|180:3340:ascenso|365:2410:medio|528:1820:final,normal,known,168,3130,2580,0.46,418,0.06,165,92,6.6,87.5,0.378,364.1,left,correct,stable,soft,"Repetición del baseline. Si se confirma, microvariar +2% vueltas o -20 back-off."
2026-05-10T12:42:00Z,Gimnasio Bajo 8.5 m,F1M Rojo,Motor 1.42g 430mm,1280,80,1200,180,4.2,false,,0,false,false,,,0,0,0,620,430,5,variable_pitch,normal,4100,2800,2100,slow_decay,0:4100:lanzamiento|90:2800:zigzag|180:2100:final,normal,known,75,3400,2800,0.4,120,0.07,300,250,20.8,49.4,0.15,126.8,irregular,low,unstable,hard,No optimizar goma: vuelo irregular y pérdida de energía por trimado.
2026-05-10T13:00:00Z,Galpón Medio 12 m,F1M VP Test,Motor 1.45g 445mm,1460,100,1360,360,7.8,false,,0,false,false,,,0,0,0,640,410,2,variable_pitch,normal,4500,2100,1700,sudden_drop,0:4500:lanzamiento|80:4200:antes transición|95:2500:después transición|220:2000:medio|360:1700:final,early,known,95,4200,2500,0.45,260,0.06,230,160,11.8,65,0.265,248.3,left,correct,stable,soft,La RPM cae mucho cuando cambia el VP. Transición demasiado temprana: retrasar transición/resorte.
2026-05-10T13:18:00Z,Galpón Medio 12 m,F1M VP Test,Motor 1.45g 445mm,1480,90,1390,330,6.5,false,,0,false,false,,,0,0,0,680,460,7,variable_pitch,slow,3900,2300,1250,fast_decay,0:3900:lanzamiento|180:2500:sin transición|240:2000:cambio tardío|330:1250:final,late,known,240,2300,1900,0.42,230,0.07,390,300,21.6,54.2,0.237,227.6,left,low,stable,prop_still_turning,El VP cambia tarde; queda mucha vuelta y rpm lenta. Facilitar transición o bajar minPitch.
2026-05-10T13:36:00Z,Gimnasio Bajo 8.5 m,F1M VP Test,Motor 1.48g 450mm,1420,70,1350,250,8.4,light,48,8,false,false,,,8,19.2,3.2,620,430,5,variable_pitch,fast,5000,3500,2400,fast_decay,0:5000:lanzamiento|48:4500:techo|140:3200:medio|250:2400:final,unknown,unknown,,,,0.55,190,0.09,320,240,17.8,98.8,0.185,168.9,left,too_aggressive,stable,soft,No recomendar dureza de resorte: el sentido VP está desconocido. Mejor back-off/maxPitch.
2026-05-10T13:54:00Z,Galpón Medio 12 m,F1M Hélice Fija,Motor 1.49g 500mm,1420,100,1320,300,6.2,false,,0,false,false,,,0,0,0,,,,fixed,slow,3300,1900,1050,fast_decay,0:3300:lanzamiento|150:1900:medio|300:1050:final,,,,,,0.37,210,0.07,330,295,22.3,51.7,0.227,201.3,left,low,stable,prop_still_turning,Hélice fija y rpm lenta; sospechar hélice demasiado cargada/fricción. No hay minPitch que ajustar.
2026-05-10T14:12:00Z,Galpón Medio 12 m,F1M Hélice Fija,Motor 1.42g 430mm,1300,80,1220,250,5.9,false,,0,false,false,,,0,0,0,,,,fixed,fast,5200,4300,3600,slow_decay,0:5200:lanzamiento|120:4300:medio|250:3600:final,,,,,,0.41,170,0.08,310,260,21.3,49.2,0.205,176.1,left,low,stable,prop_still_turning,Hélice fija gira rápido pero no sostiene: hélice descargada. Probar mayor paso/diámetro.
2026-05-10T14:30:00Z,Hangar Alto 18 m,F1M Rojo,Motor 1.51g 420mm ILEGAL,1650,90,1560,600,16,false,,0,false,false,,,0,0,0,680,430,5,variable_pitch,normal,4700,3000,1900,slow_decay,0:4700:lanzamiento|250:3000:medio|600:1900:final,normal,known,210,3300,2700,0.52,500,0.07,130,80,5.1,88.9,0.385,397.4,left,correct,stable,soft,Debe activar alerta de reglamento por motor 1.51 g aunque el vuelo sea bueno.
2026-05-10T14:48:00Z,Hangar Alto 18 m,F1M Verde,Motor 1.36g 460mm,1250,120,1130,260,7.2,false,,0,false,false,,,0,0,0,660,430,5,variable_pitch,normal,3700,2100,900,fast_decay,0:3700:lanzamiento|130:2100:medio|260:900:final,normal,known,100,2500,2000,0.32,190,0.04,70,60,5.3,40,0.23,191.2,left,low,stable,falls_without_energy,"Techo alto, modelo pesado, motor suave. Requiere más torque útil."
2026-05-10T15:06:00Z,Hangar Alto 18 m,F1M Rojo,Motor 1.50g 420mm,1700,140,1560,710,15.8,false,,0,false,false,,,0,0,0,700,430,6,variable_pitch,normal,4800,2900,1750,slow_decay,0:4800:lanzamiento|300:3200:ascenso|500:2400:medio|710:1750:final,normal,known,240,3400,2800,0.55,570,0.06,190,115,7.4,87.8,0.455,473.3,left,correct,stable,soft,"Buen uso de techo alto, remanente razonable. Repetir o microajustar."
2026-05-10T15:24:00Z,Gimnasio Bajo 8.5 m,F1M Rojo,Motor 1.48g 450mm,1520,60,1460,340,8.5,light,45,4,true,true,190,8,12,13.2,3.5,620,390,3,variable_pitch,fast,5000,3700,2300,fast_decay,0:5000:lanzamiento|45:4600:primer techo|190:3300:segundo techo|340:2300:final,early,known,65,4300,3900,0.56,280,0.09,280,210,14.4,100,0.233,229.7,left,too_aggressive,stable,soft,Segundo ascenso indica transición o paso mínimo demasiado agresivo/descargado. Controlar fase media.
2026-05-10T15:42:00Z,Galpón Medio 12 m,F1M Azul,Motor 1.32g 390mm,1300,40,1260,210,8,false,,0,false,false,,,0,0,0,620,430,5,variable_pitch,normal,4700,2300,500,fast_decay,0:4700:lanzamiento|90:3000:ascenso|160:1500:medio|210:500:final,normal,known,75,3000,2400,0.5,165,0.03,25,10,0.8,66.7,0.167,159.1,left,correct,stable,falls_without_energy,Motor demasiado corto/agresivo o pocas vueltas para duración. Alargar motor o aumentar vueltas conservadoramente.
2026-05-10T16:00:00Z,Galpón Medio 12 m,F1M VP Test,Motor 1.45g 445mm,1450,100,1350,240,5.8,false,,0,false,false,,,0,0,0,640,430,5,variable_pitch,slow,3500,1600,700,sudden_drop,0:3500:lanzamiento|80:3000:normal|120:1400:caída súbita|240:700:final,not_observed,known,,,,0.43,150,0.06,420,360,26.7,48.3,0.178,165.5,left,low,stable,prop_still_turning,RPM cae sin transición VP observada; revisar fricción/eje/hub antes de tocar goma.
2026-05-10T16:18:00Z,Gimnasio Bajo 8.5 m,F1M Azul,Motor 1.45g 445mm,1400,100,1300,300,7.4,false,,0,false,false,,,0,0,0,650,430,5,variable_pitch,unknown,,,,unknown,,unknown,unknown,,,,,,,,,NaN,87.1,0.231,206.9,left,correct,stable,soft,"Faltan RPM, remanentes y torque. Debe pedir recolección de datos, no optimizar."
2026-05-10T16:36:00Z,Salón Chico 7.2 m,F1M Rojo,Motor 1.38g 410mm,1250,90,1160,145,5.7,false,,0,false,false,,,0,0,0,620,430,5,variable_pitch,normal,4100,3000,2200,slow_decay,0:4100:lanzamiento|80:3000:deriva lateral|145:2200:golpe lateral,normal,known,90,3300,2850,0.44,120,0.08,280,240,20.7,79.2,0.125,105.1,irregular,correct,drifting,hard,Vuelo interrumpido por deriva/ambiente. No sacar conclusiones de motor.
2026-05-10T16:54:00Z,Gimnasio Bajo 8.5 m,F1M Azul,Motor 1.48g 450mm,1500,90,1410,275,8.5,light,55,10,false,false,,,10,20,3.6,560,430,5,variable_pitch,fast,5300,3900,2400,fast_decay,0:5300:lanzamiento|55:4700:techo|170:3300:medio|275:2400:final,normal,known,70,4600,3800,0.57,220,0.09,360,250,17.7,100,0.195,185.8,left,too_aggressive,stable,soft,MaxPitch bajo no absorbe torque inicial: aumentar paso máximo.
2026-05-10T17:12:00Z,Galpón Medio 12 m,F1M Verde,Motor 1.42g 430mm,1360,80,1280,230,5.2,false,,0,false,false,,,0,0,0,760,430,5,variable_pitch,slow,3200,2000,1300,slow_decay,0:3200:lanzamiento|110:2000:medio|230:1300:final,normal,known,120,2500,2100,0.38,165,0.07,300,245,19.1,43.3,0.18,162,left,low,stable,prop_still_turning,Paso máximo muy alto carga la hélice y no trepa. Reducir maxPitch antes que motor.
2026-05-10T17:30:00Z,Galpón Medio 12 m,F1M Azul,Motor 1.45g 445mm,1460,100,1360,340,8,false,,0,false,false,,,0,0,0,660,520,5,variable_pitch,slow,4200,2300,1050,fast_decay,0:4200:lanzamiento|170:2300:medio|340:1050:final,normal,known,140,3000,2400,0.44,250,0.08,360,280,20.6,66.7,0.25,234.5,left,correct,stable,prop_still_turning,MinPitch demasiado alto; carga mucho final y deja vueltas.
2026-05-10T17:48:00Z,Galpón Medio 12 m,F1M Azul,Motor 1.45g 445mm,1460,100,1360,330,7.9,false,,0,false,false,,,0,0,0,660,330,5,variable_pitch,fast,4400,3950,3600,stable,0:4400:lanzamiento|170:3950:medio|330:3600:final,early,known,80,4300,3900,0.43,250,0.08,330,265,19.5,65.8,0.243,227.6,left,correct,stable,prop_still_turning,MinPitch demasiado bajo; RPM alta sin sostén.
2026-05-10T18:06:00Z,Hangar Alto 18 m,F1M Azul,Motor 1.49g 500mm,1580,120,1460,430,9.1,false,,0,false,false,,,0,0,0,680,430,5,variable_pitch,normal,3900,2850,2100,slow_decay,0:3900:lanzamiento|200:2850:medio|430:2100:final,normal,known,160,3100,2600,0.4,350,0.08,460,370,25.3,50.6,0.295,288.6,left,low,stable,soft,Incluso en techo alto no usa altura y remanente alto. Motor largo/fino.
2026-05-10T18:24:00Z,Gimnasio Bajo 8.5 m,F1M Rojo,Motor 1.50g 420mm,1600,40,1560,220,8.5,hard,25,20,false,false,,,20,11.4,9.1,640,430,5,variable_pitch,fast,5600,3400,1200,fast_decay,0:5600:lanzamiento|25:5200:techo fuerte|120:2800:medio|220:1200:final,normal,known,50,4800,3600,0.65,170,0.05,100,55,3.5,100,0.141,146.7,left,too_aggressive,stable,hard,Motor demasiado agresivo para techo bajo. Aumentar backOff o motor más largo/fino.
2026-05-10T18:42:00Z,Salón Chico 7.2 m,F1M Azul,Motor 1.48g 470mm,1450,170,1280,380,6.6,false,,0,false,false,,,0,0,0,700,430,5,variable_pitch,normal,3950,2600,1650,slow_decay,0:3950:lanzamiento|180:2600:medio|380:1650:final,normal,known,150,2900,2400,0.38,300,0.06,120,85,6.6,91.7,0.297,256.8,left,correct,stable,soft,Vuelo bueno en salón bajo; repetir y luego bajar levemente back-off.
2026-05-10T19:00:00Z,Galpón Medio 12 m,F1M Azul,Motor 1.45g 445mm,1480,260,1220,280,5.8,false,,0,false,false,,,0,0,0,660,430,5,variable_pitch,normal,3600,2400,1600,slow_decay,0:3600:lanzamiento|140:2400:medio|280:1600:final,normal,known,120,2700,2300,0.32,220,0.07,230,180,14.8,48.3,0.23,193.1,left,low,stable,soft,Demasiado back-off: no usa techo y remanente moderado. Reducir back-off.
2026-05-10T19:18:00Z,Galpón Medio 12 m,F1M Azul,Motor 1.45g 445mm,1180,60,1120,220,6.9,false,,0,false,false,,,0,0,0,660,430,5,variable_pitch,normal,3800,2100,700,fast_decay,0:3800:lanzamiento|110:2100:medio|220:700:final,normal,known,80,2600,2100,0.36,170,0.04,35,20,1.8,57.5,0.196,151.7,left,correct,stable,falls_without_energy,No sobra motor y no usa techo; subir vueltas netas.
